PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
qYzrH,3rkr2/4bRpp/3p4/1q6/3QP3/8/PPP3PP/5R1K w - - 1 23,d4g7 b5f1 f7f1 f8f1,747,79,100,1463,backRankMate mate mateIn2 middlegame short xRayAttack,https://lichess.org/JU7HYer1#45,
ptbp6,5n2/1p4k1/3p3N/p1pP2Pp/2P1r2P/1P6/P7/3KN3 b - - 0 33,e4h4 h6f5 g7g6 f5h4,748,79,100,2574,advantage endgame fork short,https://lichess.org/q7IvLOao/black#66,
Mwlgi,r1b1k2r/p4ppp/2p5/n1b1p3/B3N1nq/3P4/PPP2PPP/RNBQ1RK1 w kq - 4 12,e4c5 h4h2,750,77,100,1303,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/d3D6AfnF#23,
C9CdU,8/8/5p2/4kPp1/6Pp/4K2P/8/8 w - - 4 54,e3d3 e5f4 d3c4 f4g3 c4d5 g3h3,751,82,100,2426,crushing endgame long pawnEndgame,https://lichess.org/GleXse8p#107,
QkR08,8/3r2kp/p2PQ1p1/1p2pp2/1P3q2/P1N5/5p2/3K1R2 b - - 1 39,d7d6 e6d6 f4d4 d6d4,752,92,100,2392,crushing endgame hangingPiece master short,https://lichess.org/1vwhvP5t/black#78,
qY9KK,7k/6p1/1q3p1p/4p3/PP2P3/3Q3P/2r2PP1/B2R2K1 w - - 1 35,b4b5 b6f2 g1h2 f2g2,754,88,100,2334,endgame mate mateIn2 short,https://lichess.org/E4t6588q#69,
TNbx8,1r1q1b1r/p1p1k1p1/2B2BQ1/4n3/3pN3/7P/PPP5/R3K2R b KQ - 0 18,g7f6 g6f6,756,76,100,1340,mate mateIn1 middlegame oneMove,https://lichess.org/VjWxg1EC/black#36,Blackmar-Diemer_Gambit Blackmar-Diemer_Gambit_Teichmann_Variation
ZDw5T,3r1rk1/6pp/pp2N3/4n3/3R2Pq/8/PPP3QP/1K2R3 w - - 1 25,e6d8 h4e1 d4d1 e1d1,756,95,100,2127,hangingPiece mate mateIn2 middlegame queensideAttack short,https://lichess.org/Lxp6CHe8#49,
YsziB,8/5kp1/7p/3P1pbK/8/2B4P/4NP2/8 w - - 1 44,e2g3 g7g6,759,78,100,1442,endgame mate mateIn1 oneMove,https://lichess.org/Y93VaooC#87,
MkWa1,3r4/8/6k1/5NP1/6K1/5P2/8/8 b - - 0 59,d8d5 f5e7 g6g7 e7d5,761,93,100,1458,crushing endgame fork short,https://lichess.org/gsQxzD5n/black#118,
lnDBq,1r4k1/pp3n1p/3p1Qp1/8/4RP2/3q3P/2r3P1/4R1K1 b - - 1 38,d3d2 e4e8 b8e8 e1e8,762,78,100,1310,mate mateIn2 middlegame short,https://lichess.org/cOtGdg1F/black#76,
nSbav,2k1r3/1p2r1pp/2p1Pp2/p7/2B2B2/2P5/PP2KP1P/R7 w - - 0 23,f4d6 e7e6 c4e6 e8e6 e2f3 e6d6,763,76,100,1970,advantage endgame fork long,https://lichess.org/mZWb9eYG#45,
WCfYK,3r2k1/p4ppp/5n2/P1p5/2P5/3R1QP1/5PKP/q7 b - - 1 22,d8d3 f3a8 d3d8 a8d8 f6e8 d8e8,765,79,100,1931,endgame long mate mateIn3,https://lichess.org/dkodKyu1/black#44,
